referral_id,referrer_id,referee_id,referral_source,referral_source_category,referral_at,transaction_id,transaction_status,transaction_type,reward_value,description,is_reward_granted,is_business_logic_valid
6371079a92bcbf0c16ae5fcdf4fc9c10,2c71c5d66c7e12a0b3c200ba6ed3b78e,12dd343d282fb7915f55982937c30b87,User Sign Up,Online,2024-04-22 15:04:57+00:00,4c8cae052f19cea66544affc759b76ee,,,,,,False
6371079a92bcbf0c16ae5fcdf4fc9c10,2c71c5d66c7e12a0b3c200ba6ed3b78e,12dd343d282fb7915f55982937c30b87,User Sign Up,Online,2024-04-22 15:04:57+00:00,4c8cae052f19cea66544affc759b76ee,,,,,,False
6371079a92bcbf0c16ae5fcdf4fc9c10,2c71c5d66c7e12a0b3c200ba6ed3b78e,12dd343d282fb7915f55982937c30b87,User Sign Up,Online,2024-04-22 15:04:57+00:00,4c8cae052f19cea66544affc759b76ee,,,,,,False
a49105b02e690472452527663559d97a,nan,f6507a982bde1dcda0ce0867ceac66f6,Draft Transaction,Offline,2024-05-02 14:10:16+00:00,91263eaf2af17ac140c6fc23a68882d3,,NEW,,,,False
fcb804c8ff24e5b2974a7e965ebea5e8,2c71c5d66c7e12a0b3c200ba6ed3b78e,919b89759e569c5f1bdfc45ba1872d6f,User Sign Up,Online,2024-04-18 03:56:22+00:00,nan,,,,,,False
fcb804c8ff24e5b2974a7e965ebea5e8,2c71c5d66c7e12a0b3c200ba6ed3b78e,919b89759e569c5f1bdfc45ba1872d6f,User Sign Up,Online,2024-04-18 03:56:22+00:00,nan,,,,,,False
fcb804c8ff24e5b2974a7e965ebea5e8,2c71c5d66c7e12a0b3c200ba6ed3b78e,919b89759e569c5f1bdfc45ba1872d6f,User Sign Up,Online,2024-04-18 03:56:22+00:00,nan,,,,,,False
fcb804c8ff24e5b2974a7e965ebea5e8,2c71c5d66c7e12a0b3c200ba6ed3b78e,919b89759e569c5f1bdfc45ba1872d6f,User Sign Up,Online,2024-04-18 03:56:22+00:00,nan,,,,,,False
fcb804c8ff24e5b2974a7e965ebea5e8,2c71c5d66c7e12a0b3c200ba6ed3b78e,919b89759e569c5f1bdfc45ba1872d6f,User Sign Up,Online,2024-04-18 03:56:22+00:00,nan,,,,,,False
fcb804c8ff24e5b2974a7e965ebea5e8,2c71c5d66c7e12a0b3c200ba6ed3b78e,919b89759e569c5f1bdfc45ba1872d6f,User Sign Up,Online,2024-04-18 03:56:22+00:00,nan,,,,,,False
fcb804c8ff24e5b2974a7e965ebea5e8,2c71c5d66c7e12a0b3c200ba6ed3b78e,919b89759e569c5f1bdfc45ba1872d6f,User Sign Up,Online,2024-04-18 03:56:22+00:00,nan,,,,,,False
fcb804c8ff24e5b2974a7e965ebea5e8,2c71c5d66c7e12a0b3c200ba6ed3b78e,919b89759e569c5f1bdfc45ba1872d6f,User Sign Up,Online,2024-04-18 03:56:22+00:00,nan,,,,,,False
fcb804c8ff24e5b2974a7e965ebea5e8,2c71c5d66c7e12a0b3c200ba6ed3b78e,919b89759e569c5f1bdfc45ba1872d6f,User Sign Up,Online,2024-04-18 03:56:22+00:00,nan,,,,,,False
fcb804c8ff24e5b2974a7e965ebea5e8,2c71c5d66c7e12a0b3c200ba6ed3b78e,919b89759e569c5f1bdfc45ba1872d6f,User Sign Up,Online,2024-04-18 03:56:22+00:00,nan,,,,,,False
fcb804c8ff24e5b2974a7e965ebea5e8,2c71c5d66c7e12a0b3c200ba6ed3b78e,919b89759e569c5f1bdfc45ba1872d6f,User Sign Up,Online,2024-04-18 03:56:22+00:00,nan,,,,,,False
fcb804c8ff24e5b2974a7e965ebea5e8,2c71c5d66c7e12a0b3c200ba6ed3b78e,919b89759e569c5f1bdfc45ba1872d6f,User Sign Up,Online,2024-04-18 03:56:22+00:00,nan,,,,,,False
fcb804c8ff24e5b2974a7e965ebea5e8,2c71c5d66c7e12a0b3c200ba6ed3b78e,919b89759e569c5f1bdfc45ba1872d6f,User Sign Up,Online,2024-04-18 03:56:22+00:00,nan,,,,,,False
9e9324e6fde29bb0d230654b38ccfdd4,f2de40c8394f4ea9a6aa49965380dd8f,d1b90f8e27b5ec0d37f180aed67d76b4,Draft Transaction,Offline,2024-05-14 06:17:03+00:00,e05121ea99fed4f4c5224a4667bb3dad,,NEW,,,False,False
9e9324e6fde29bb0d230654b38ccfdd4,f2de40c8394f4ea9a6aa49965380dd8f,d1b90f8e27b5ec0d37f180aed67d76b4,Draft Transaction,Offline,2024-05-14 06:17:03+00:00,e05121ea99fed4f4c5224a4667bb3dad,,NEW,,,False,False
b6732d2ca0bc7acbc1b39cb8a04a96cd,4acfa96cb521b6963b50bcef95bee485,8cba435bca358b92462a30bc999598bf,Lead,Lead,2024-05-22 09:03:10+00:00,nan,,,,,,False
b6732d2ca0bc7acbc1b39cb8a04a96cd,4acfa96cb521b6963b50bcef95bee485,8cba435bca358b92462a30bc999598bf,Lead,Lead,2024-05-22 09:03:10+00:00,nan,,,,,,False
b6732d2ca0bc7acbc1b39cb8a04a96cd,4acfa96cb521b6963b50bcef95bee485,8cba435bca358b92462a30bc999598bf,Lead,Lead,2024-05-22 09:03:10+00:00,nan,,,,,,False
b6732d2ca0bc7acbc1b39cb8a04a96cd,4acfa96cb521b6963b50bcef95bee485,8cba435bca358b92462a30bc999598bf,Lead,Lead,2024-05-22 09:03:10+00:00,nan,,,,,,False
b6732d2ca0bc7acbc1b39cb8a04a96cd,4acfa96cb521b6963b50bcef95bee485,8cba435bca358b92462a30bc999598bf,Lead,Lead,2024-05-22 09:03:10+00:00,nan,,,,,,False
b6732d2ca0bc7acbc1b39cb8a04a96cd,4acfa96cb521b6963b50bcef95bee485,8cba435bca358b92462a30bc999598bf,Lead,Lead,2024-05-22 09:03:10+00:00,nan,,,,,,False
b6732d2ca0bc7acbc1b39cb8a04a96cd,4acfa96cb521b6963b50bcef95bee485,8cba435bca358b92462a30bc999598bf,Lead,Lead,2024-05-22 09:03:10+00:00,nan,,,,,,False
835e990334fe52dec832043f19ddfd07,f2de40c8394f4ea9a6aa49965380dd8f,a2f1c1a62e161b8fe76498b3936d8afa,Draft Transaction,Offline,2024-05-13 10:23:46+00:00,f192fca27d438c053db425fade152d66,,NEW,,,False,False
835e990334fe52dec832043f19ddfd07,f2de40c8394f4ea9a6aa49965380dd8f,a2f1c1a62e161b8fe76498b3936d8afa,Draft Transaction,Offline,2024-05-13 10:23:46+00:00,f192fca27d438c053db425fade152d66,,NEW,,,False,False
6667436490ad3c794a8f5127772d4810,nan,38ebaae9d064d2aa29f466bdbcf9a5b2,Draft Transaction,Offline,2024-05-02 14:06:39+00:00,07f21743663aacb7d212c286d47a14de,,NEW,,,,False
d452feec722a5cabc03645bb089e2735,cbac8ed440d53d1c6c187874c4193db2,08b8ab0371b6a0cb79319628505c446c,Lead,Lead,2024-03-20 07:48:49+00:00,7709d17eaec03665f58904b72c8ab444,,,,,,False
